Student No.,Cohort,College,College Code,Major,Major Code,Minor,Spec,Degree,Status,Load Status,Gender,Country,Governorate,Wellayah,CGPA,Estimated Graduation Year,From HEAC,Admission Category,Birth Date,Actual Graduation Date,Withdrawal,Marital Status,SQU Hostel,Secondary School Percentage,Probation Student
1,2016,Engineering,102,Biology,204.0,Physics,None,1,Inactive,Part-time,Male,Oman,Dhofar,Area4,2.31,2020,No,nan,1996-04-11,2021-05-30,Yes,Married,Yes,98.66,No
2,2016,Arts,103,Mechanical,,Math,B,1,Active,Part-time,Female,Other,Dhofar,Area1,4.0,2021,No,Category2,1996-01-28,2020-05-30,No,Single,Yes,87.53,No
3,2017,Medicine,104,History,203.0,Math,nan,1,Active,Full-time,Female,Other,Dhofar,Area2,2.37,2023,Yes,Category1,1999-03-28,,Yes,Married,Yes,77.87,Yes
4,2016,Engineering,104,International Law,,nan,nan,1,Active,Full-time,Female,Oman,Al Buraimi,Area1,1.53,2022,Yes,Category2,1997-09-13,2021-05-30,Yes,Single,Yes,81.78,Yes
5,2015,Medicine,102,International Law,,Math,B,1,Active,Full-time,Male,Oman,Al Batinah,Area3,1.65,2020,No,Category2,1996-12-20,,No,Single,No,77.41,Yes
6,2019,Law,103,History,202.0,None,B,1,Inactive,Part-time,Female,Oman,Al Batinah,Area2,2.54,2023,Yes,nan,2000-11-30,2020-05-30,No,Single,Yes,96.21,No
7,2018,Law,102,Biology,204.0,Physics,A,1,Inactive,Full-time,Female,Other,Dhofar,Area3,2.4,2020,No,Category3,2000-02-29,2021-05-30,Yes,Married,No,75.11,No
8,2017,Engineering,102,Mechanical,202.0,Chemistry,None,1,Active,Part-time,Male,Other,Al Dakhiliyah,Area4,3.82,2022,Yes,Category3,1999-09-02,2021-05-30,Yes,Married,No,93.0,Yes
9,2016,Arts,102,International Law,205.0,Chemistry,B,1,Active,Full-time,Male,Oman,Dhofar,Area1,2.33,2022,Yes,nan,1996-01-28,2021-05-30,Yes,Married,Yes,95.93,No
10,2017,Science,105,International Law,201.0,nan,A,1,Active,Part-time,Female,Oman,Dhofar,Area1,2.18,2020,Yes,Category1,1996-05-25,,No,Married,Yes,88.81,Yes
11,2018,Arts,102,None,203.0,None,nan,1,Active,Full-time,Female,Oman,Muscat,Area3,1.78,2024,Yes,nan,1999-12-08,,Yes,Single,No,84.34,No
12,2017,Medicine,105,Mechanical,202.0,nan,None,1,Inactive,Full-time,Female,Oman,Al Buraimi,Area1,2.22,2020,Yes,Category3,1995-02-24,2021-05-30,No,Married,No,72.2,Yes
13,2017,Arts,103,None,205.0,Physics,C,1,Inactive,Part-time,Female,Other,Dhofar,Area4,2.19,2022,Yes,Category2,1998-08-03,2021-05-30,No,Single,No,70.06,Yes
14,2017,Arts,105,Mechanical,201.0,Physics,None,1,Inactive,Part-time,Female,Oman,Dhofar,Area3,1.71,2021,No,nan,1997-05-31,2020-05-30,No,Married,Yes,78.8,No
15,2018,Engineering,105,History,,Chemistry,nan,1,Inactive,Part-time,Male,Other,Muscat,Area4,3.58,2020,Yes,nan,1999-01-25,,No,Single,No,75.15,Yes
16,2019,Engineering,105,None,,nan,nan,1,Inactive,Part-time,Male,Oman,Muscat,Area2,3.12,2023,Yes,Category3,2000-09-04,,Yes,Married,Yes,73.93,Yes
17,2018,Engineering,105,Surgery,,Math,nan,1,Inactive,Full-time,Female,Oman,Al Buraimi,Area2,3.97,2024,Yes,Category3,2000-06-06,,No,Married,No,79.91,Yes
